epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11937.1,1.00129,0.76935,1.16111,0.87787,0.85815,0.90011,0.60469,1.2583,0.72491,1.28906,0.005842,0.005842,0.005842
44,12221.9,1.00252,0.76866,1.15794,0.87311,0.85536,0.90384,0.60916,1.25594,0.71119,1.28679,0.005743,0.005743,0.005743
45,12501.1,1.0008,0.76784,1.15509,0.88824,0.85462,0.907,0.60995,1.25109,0.71328,1.28957,0.005644,0.005644,0.005644
46,12784.8,0.99562,0.75468,1.1557,0.89098,0.85134,0.9026,0.60991,1.25034,0.70573,1.29279,0.005545,0.005545,0.005545
47,13070.5,0.99466,0.75297,1.15224,0.87834,0.84539,0.8965,0.60767,1.24698,0.71207,1.28807,0.005446,0.005446,0.005446
48,13351.4,0.9855,0.75406,1.15045,0.87345,0.86456,0.90563,0.60718,1.25005,0.70817,1.28914,0.005347,0.005347,0.005347
49,13636.3,0.98658,0.74797,1.14965,0.87908,0.86507,0.90465,0.60954,1.25752,0.7031,1.29594,0.005248,0.005248,0.005248
50,13921.9,0.98125,0.73105,1.14451,0.88701,0.84653,0.90081,0.61042,1.25589,0.69908,1.29372,0.005149,0.005149,0.005149
51,14207.8,0.9898,0.74217,1.15075,0.86972,0.86482,0.90405,0.6123,1.25218,0.69402,1.2905,0.00505,0.00505,0.00505
52,14491.7,0.98517,0.74006,1.14567,0.89527,0.85471,0.90545,0.61145,1.2466,0.69484,1.28611,0.004951,0.004951,0.004951
53,14771.4,0.97882,0.73419,1.14462,0.86687,0.87199,0.90508,0.61443,1.24464,0.69022,1.28557,0.004852,0.004852,0.004852
54,15054.7,0.97231,0.72559,1.13809,0.88641,0.84957,0.90757,0.61776,1.24443,0.68945,1.28486,0.004753,0.004753,0.004753
55,15337.2,0.96874,0.71954,1.13607,0.89192,0.85065,0.90627,0.61762,1.24124,0.68535,1.2849,0.004654,0.004654,0.004654
56,15614.1,0.96114,0.7132,1.13507,0.88513,0.86012,0.90543,0.61544,1.24481,0.68141,1.28954,0.004555,0.004555,0.004555
57,15895.3,0.95889,0.71814,1.13004,0.88993,0.86443,0.90453,0.61809,1.24162,0.67967,1.28522,0.004456,0.004456,0.004456
58,16173.9,0.96835,0.71297,1.13327,0.88291,0.86731,0.90731,0.61989,1.24002,0.68052,1.28003,0.004357,0.004357,0.004357
59,16447.5,0.96766,0.71483,1.1298,0.87955,0.87624,0.90908,0.6218,1.24224,0.67782,1.28147,0.004258,0.004258,0.004258
60,16725.3,0.95407,0.70526,1.12712,0.88573,0.86566,0.90606,0.62018,1.24114,0.67916,1.28168,0.004159,0.004159,0.004159
61,17001.3,0.95416,0.69845,1.12958,0.8839,0.87356,0.90748,0.62004,1.23914,0.67384,1.28169,0.00406,0.00406,0.00406
62,17278.2,0.95581,0.70086,1.12715,0.88308,0.87281,0.90924,0.62155,1.24036,0.67008,1.28156,0.003961,0.003961,0.003961
63,17552.5,0.94532,0.69829,1.12351,0.89171,0.86752,0.9103,0.62367,1.24251,0.66998,1.28418,0.003862,0.003862,0.003862
64,17831.5,0.93802,0.68867,1.12322,0.89355,0.85937,0.90821,0.62353,1.24005,0.66834,1.2828,0.003763,0.003763,0.003763
65,18110.6,0.9401,0.68426,1.11949,0.88875,0.8633,0.90784,0.62351,1.23998,0.66709,1.28337,0.003664,0.003664,0.003664
66,18384.9,0.94211,0.6859,1.12216,0.87979,0.87069,0.90755,0.62489,1.23827,0.66433,1.282,0.003565,0.003565,0.003565
67,18669.7,0.93911,0.67971,1.11954,0.87657,0.87323,0.90584,0.62467,1.23871,0.6631,1.28325,0.003466,0.003466,0.003466
68,18953,0.92404,0.67575,1.11058,0.8821,0.86862,0.90888,0.62697,1.23578,0.66329,1.28059,0.003367,0.003367,0.003367
69,19238.6,0.92215,0.66976,1.11379,0.88147,0.8713,0.90741,0.62628,1.2359,0.66287,1.28073,0.003268,0.003268,0.003268
70,19528.1,0.92606,0.67164,1.11382,0.88233,0.86838,0.90725,0.62681,1.23589,0.66184,1.2813,0.003169,0.003169,0.003169
71,19814.5,0.92137,0.65908,1.10873,0.88813,0.86559,0.90791,0.62752,1.23423,0.66063,1.28012,0.00307,0.00307,0.00307
72,20099.5,0.9214,0.6616,1.10824,0.88616,0.86963,0.90954,0.62763,1.23264,0.65996,1.27895,0.002971,0.002971,0.002971
73,20384.5,0.91287,0.66136,1.10359,0.88927,0.86869,0.91081,0.62853,1.23222,0.65935,1.27887,0.002872,0.002872,0.002872
74,20665.8,0.91405,0.65704,1.1042,0.89419,0.86441,0.91018,0.62944,1.23178,0.65849,1.27827,0.002773,0.002773,0.002773
75,20949.3,0.90128,0.64392,1.09949,0.89379,0.86692,0.91051,0.62974,1.23166,0.65697,1.27891,0.002674,0.002674,0.002674
76,21230.9,0.90594,0.64599,1.10248,0.8952,0.86492,0.91197,0.62931,1.23091,0.65578,1.27853,0.002575,0.002575,0.002575
77,21511.4,0.89651,0.63786,1.09464,0.8968,0.8655,0.91139,0.63022,1.23022,0.65567,1.27873,0.002476,0.002476,0.002476
78,21788.6,0.90108,0.64783,1.09661,0.89873,0.86269,0.91274,0.63007,1.23091,0.65517,1.27906,0.002377,0.002377,0.002377
