epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3943.06,1.26451,0.99213,1.33458,0.72569,0.61632,0.6161,0.32479,1.88949,1.39638,2.17446,0.0011882,0.0011882,0.0011882
43,4045.45,1.2699,0.9756,1.32901,0.73652,0.61044,0.59907,0.32195,1.86826,1.48456,2.13833,0.0011684,0.0011684,0.0011684
44,4145.73,1.26162,0.99686,1.32718,0.72961,0.63054,0.62215,0.33098,1.84828,1.41306,2.13982,0.0011486,0.0011486,0.0011486
45,4249.41,1.24093,0.98582,1.3154,0.74058,0.61755,0.61637,0.31685,1.91869,1.38891,2.19212,0.0011288,0.0011288,0.0011288
46,4349.12,1.25065,0.95497,1.32086,0.74368,0.61691,0.61479,0.32695,1.87307,1.39442,2.14629,0.001109,0.001109,0.001109
47,4449.73,1.22087,0.92385,1.30256,0.74863,0.62322,0.62304,0.33102,1.87627,1.39737,2.18565,0.0010892,0.0010892,0.0010892
48,4541.61,1.21686,0.92002,1.30985,0.77006,0.62644,0.64223,0.33595,1.8838,1.37389,2.15299,0.0010694,0.0010694,0.0010694
49,4635.61,1.20409,0.91374,1.30441,0.74531,0.63218,0.63439,0.33391,1.8952,1.28809,2.19629,0.0010496,0.0010496,0.0010496
50,4725.83,1.21178,0.9214,1.29743,0.7495,0.63074,0.6373,0.33495,1.90318,1.31727,2.21463,0.0010298,0.0010298,0.0010298
51,4818.9,1.20362,0.89069,1.28254,0.75207,0.6165,0.61251,0.32655,1.93585,1.3554,2.21385,0.00101,0.00101,0.00101
52,4912.35,1.19427,0.89625,1.28963,0.76329,0.61314,0.62207,0.33029,1.87308,1.43214,2.13974,0.0009902,0.0009902,0.0009902
53,5004.09,1.17549,0.89497,1.27458,0.77759,0.63824,0.65439,0.34822,1.86368,1.26741,2.14781,0.0009704,0.0009704,0.0009704
54,5097.86,1.18207,0.88956,1.27804,0.75675,0.62313,0.60278,0.32478,1.91453,1.35399,2.19345,0.0009506,0.0009506,0.0009506
55,5189.07,1.18996,0.89781,1.27986,0.76725,0.62824,0.62164,0.33885,1.88044,1.30428,2.19783,0.0009308,0.0009308,0.0009308
56,5281.73,1.17749,0.87485,1.27453,0.7615,0.66294,0.66349,0.35895,1.81959,1.21438,2.13296,0.000911,0.000911,0.000911
57,5375,1.15207,0.85975,1.25291,0.75859,0.64279,0.63822,0.34793,1.87238,1.28665,2.21183,0.0008912,0.0008912,0.0008912
58,5466.2,1.14039,0.85997,1.25075,0.75647,0.64132,0.6359,0.34152,1.88277,1.25905,2.20805,0.0008714,0.0008714,0.0008714
59,5561.22,1.13971,0.85734,1.25172,0.76859,0.63592,0.6339,0.34631,1.88712,1.28884,2.20156,0.0008516,0.0008516,0.0008516
60,5652.56,1.1242,0.81768,1.23863,0.78468,0.64118,0.6471,0.35003,1.85588,1.29053,2.17138,0.0008318,0.0008318,0.0008318
61,5744.65,1.12219,0.8364,1.24163,0.77213,0.64147,0.65453,0.36131,1.82706,1.30924,2.15633,0.000812,0.000812,0.000812
62,5838.6,1.11865,0.82102,1.23378,0.78477,0.63353,0.64005,0.35092,1.83209,1.32978,2.15035,0.0007922,0.0007922,0.0007922
63,5929.71,1.1196,0.81758,1.24939,0.77966,0.64426,0.65233,0.36321,1.81435,1.2799,2.12173,0.0007724,0.0007724,0.0007724
64,6025.18,1.11659,0.80326,1.23556,0.78146,0.65735,0.65577,0.35637,1.84458,1.21232,2.19045,0.0007526,0.0007526,0.0007526
65,6117.12,1.10007,0.8164,1.22616,0.7889,0.65368,0.64839,0.35473,1.84668,1.19377,2.20703,0.0007328,0.0007328,0.0007328
66,6209.23,1.08642,0.81091,1.21885,0.77688,0.66721,0.67035,0.36819,1.81604,1.20687,2.16942,0.000713,0.000713,0.000713
67,6304.4,1.07422,0.78324,1.21447,0.7968,0.64103,0.64376,0.35736,1.85957,1.21315,2.21875,0.0006932,0.0006932,0.0006932
68,6396.44,1.08745,0.78245,1.22804,0.78168,0.64079,0.64654,0.35962,1.83891,1.28075,2.19599,0.0006734,0.0006734,0.0006734
69,6489.02,1.08048,0.78846,1.21697,0.79185,0.63044,0.63681,0.35991,1.81578,1.32263,2.16301,0.0006536,0.0006536,0.0006536
70,6581.92,1.06178,0.75475,1.1992,0.79821,0.66176,0.67428,0.37804,1.78165,1.19941,2.13315,0.0006338,0.0006338,0.0006338
71,6673.76,1.04923,0.76187,1.18509,0.78063,0.64279,0.62984,0.35262,1.86266,1.28308,2.22077,0.000614,0.000614,0.000614
72,6767.1,1.04865,0.75899,1.19166,0.77739,0.65103,0.66003,0.3684,1.84991,1.22717,2.22121,0.0005942,0.0005942,0.0005942
73,6859.33,1.0483,0.74204,1.19287,0.7772,0.65941,0.64612,0.35919,1.86349,1.18588,2.21848,0.0005744,0.0005744,0.0005744
